Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband,public_recycling_points,litter
S01010133,Greenfield,Glasgow City,693,430,105,2,1,1,1,141,81,109,386,4973,499,605,37%,256,30%,130,255,223,322,135,32%,3%,169,61%,5.08,212,3%,5%,49,710,159,23,22%,3%,3.412128331,2.404992987,2.877864656,2.130493421,2.887335203,4.216608392,6.847268583,5.840943198,11.79872721,0%,0,4
S01010134,Greenfield,Glasgow City,996,627,817,12,3,2,1,773,883,316,1403,6156,2039,877,26%,257,18%,115,205,253,254,143,28%,5%,172,74%,5.35,202,2%,6%,32,323,205,18,21%,2%,2.772012563,1.207894472,1.716876884,1.855083799,2.694972362,3.754117647,4.107065327,6.500326633,9.458733668,1%,1,7
S01010135,Greenfield,Glasgow City,751,455,750,11,3,2,1,618,701,489,1264,5438,3392,866,27%,206,20%,88,205,158,68,118,31%,8%,146,70%,5.65,222,2%,7%,15,201,157,16,20%,2%,3.44874349,1.835182292,1.734472656,2.469745763,3.27859375,4.247259036,7.18780599,5.07624349,12.38305339,0%,2,15
S01010136,Greenfield,Glasgow City,817,562,2495,36,8,4,2,2255,2363,1926,2459,6794,4695,942,15%,122,11%,62,135,171,73,90,22%,4%,122,84%,5.5,153,6%,6%,10,123,149,28,18%,3%,2.425775649,1.220710754,0.93987021,2.1077,2.911384425,3.884850746,4.762589617,3.36342089,8.783677379,0%,0,18
S01010137,Shettleston North,Glasgow City,903,552,759,11,3,2,1,493,680,477,2463,6758,1698,664,29%,262,20%,108,200,243,119,119,29%,6%,150,80%,5.73,158,3%,6%,33,367,217,22,22%,2%,1.441132368,1.238350569,2.132975698,1.932739726,3.121039297,3.328535032,3.095925543,6.777016546,7.470579111,0%,0,18
S01010138,Shettleston North,Glasgow City,957,668,24,1,1,1,1,7,1,5,864,4467,323,889,49%,465,47%,311,310,650,767,184,33%,8%,227,82%,4.82,190,14%,4%,80,840,185,25,20%,3%,1.960897981,2.349014346,2.528971838,2.933513514,3.826121148,4.301990741,7.670921892,9.193241233,10.56658342,0%,4,3
S01010139,Shettleston North,Glasgow City,1033,674,647,10,2,1,1,623,587,503,796,6830,1818,749,27%,283,21%,138,205,187,131,100,25%,2%,172,69%,5.1,198,4%,5%,36,350,211,31,21%,3%,1.755922852,1.344116211,1.594631348,2.512567568,2.184462891,2.529681818,4.08291748,5.284233398,6.214589844,0%,0,4
S01010140,Shettleston North,Glasgow City,842,635,1885,28,6,3,2,2067,2231,1273,1811,6873,375,827,16%,135,12%,74,140,416,263,107,18%,2%,156,83%,4.69,142,5%,5%,67,799,142,30,19%,4%,2.078007968,0.987131474,1.657051793,2.152487685,2.195773572,2.944950495,3.430411687,5.940551129,6.262211155,0%,1,7
S01010141,Shettleston North,Glasgow City,936,632,120,2,1,1,1,98,146,88,309,6975,945,491,39%,367,28%,174,255,288,189,169,29%,10%,186,72%,4.71,233,7%,3%,48,515,200,20,25%,2%,1.499842007,1.083289963,0.747908922,2.470448113,1.018627633,2.105454545,2.877924411,2.054597274,2.72739777,0%,0,7
S01010142,Tollcross,Glasgow City,667,460,333,5,1,1,1,386,350,64,805,6748,1085,655,31%,204,24%,108,265,208,267,131,28%,5%,221,76%,4.7,194,6%,5%,32,482,114,28,20%,5%,2.478457168,1.520926573,1.66951049,2.356866197,1.94027972,3.171058824,4.833907343,4.53048951,6.258216783,0%,0,8
